name,state,state_code,type,degree_length,cost_type,in_state,AY2017,AY2016,AY2015,AY2014,AY2013,AY2012,AY2011,AY2010,AY2009
Point University,Georgia,GA,Private,4 Year,total,out,30500,30400,28600,27600,27400,27500,29606,27060,28730
Point University,Georgia,GA,Private,4 Year,tuition,in,20600,19200,18500,17650,17400,17400,16226,15880,15150
Pomona College,California,CA,Private,4 Year,total,in,69725,67357,64870,62632,59730,57014,55319,53490,51668
Pomona College,California,CA,Private,4 Year,total,out,69725,67357,64870,62632,59730,57014,55319,53490,51668
Pomona College,California,CA,Private,4 Year,tuition,in,51075,49352,47620,45832,43580,41438,39883,38394,37017
Pontifical College Josephinum,Ohio,OH,Private,4 Year,total,in,39742,39742,38848,37638,36598,35748,34673,31985,30575
Pontifical College Josephinum,Ohio,OH,Private,4 Year,total,out,39742,39742,38848,37638,36598,35748,34673,31985,30575
Pontifical College Josephinum,Ohio,OH,Private,4 Year,tuition,in,22092,22092,21748,21038,20614,20026,19239,17939,17417
Post University,Connecticut,CT,For Profit,4 Year,total,in,31510,32760,32760,32760,37105,43630,41500,40500,39450
Post University,Connecticut,CT,For Profit,4 Year,total,out,31510,32760,32760,32760,37105,43630,41500,40500,39450
Post University,Connecticut,CT,For Profit,4 Year,tuition,in,16610,16510,16510,16510,20925,27450,25900,25050,24300
Potomac State College of West Virginia University,West Virginia,WV,Public,2 Year,total,in,15944,15476,15640,15690,15120,14196,13916,13418,13000
Potomac State College of West Virginia University,West Virginia,WV,Public,2 Year,total,out,22448,21836,21856,21666,21072,20152,19848,19278,18860
Potomac State College of West Virginia University,West Virginia,WV,Public,2 Year,tuition,in,4248,4056,3864,3480,3336,3178,3058,2886,2886
Pratt Community College,Kansas,KS,Public,2 Year,total,in,13510,13094,12548,11800,11300,11090,10798,10366,10031
Pratt Community College,Kansas,KS,Public,2 Year,total,out,13930,13482,12904,12124,11592,11382,11090,10616,10251
Pratt Community College,Kansas,KS,Public,2 Year,tuition,in,3492,3332,3268,3140,3140,3012,2820,2470,2380
Presbyterian College,South Carolina,SC,Private,4 Year,total,in,51910,50886,49580,47872,46378,45130,43652,42552,40325
Presbyterian College,South Carolina,SC,Private,4 Year,total,out,51910,50886,49580,47872,46378,45130,43652,42552,40325
Presbyterian College,South Carolina,SC,Private,4 Year,tuition,in,37842,37142,36130,34828,33650,32680,31280,30180,28880
Prescott College,Arizona,AZ,Private,4 Year,total,in,42253,40089,39991,39223,41336,40206,38249,37677,35467
Prescott College,Arizona,AZ,Private,4 Year,total,out,42253,40089,39991,39223,41336,40206,38249,37677,35467
Prescott College,Arizona,AZ,Private,4 Year,tuition,in,30501,28943,27503,26415,29732,28820,27829,26235,24643
Presentation College,South Dakota,SD,Private,4 Year,total,in,32855,31680,31248,32075,28914,27105,26435,25535,25063
Presentation College,South Dakota,SD,Private,4 Year,total,out,32855,31680,31248,32075,28914,27105,26435,25535,25063
Presentation College,South Dakota,SD,Private,4 Year,tuition,in,19830,19090,18358,17875,17014,16205,15435,15135,14250
Princeton University,New Jersey,NJ,Private,4 Year,total,in,66150,63690,61160,58965,55832,54780,53934,52715,51260
Princeton University,New Jersey,NJ,Private,4 Year,total,out,66150,63690,61160,58965,55832,54780,53934,52715,51260
Princeton University,New Jersey,NJ,Private,4 Year,tuition,in,47140,45320,43450,41820,40170,39537,37865,36640,35340
Providence Christian College,California,CA,Private,4 Year,total,in,44682,41532,42026,40276,38602,36686,35284,34284,32506
